elektra|Chris Stuckmann|ChrisStuckmann.com|R|The real issue I have with this movie is how uneventful so much of it feels.|C|May 1, 2020|N
elektra|Deryck Swan|The List|F|The special effects are well realized and enough attention is paid to the character of Elektra to make her a formidable rival to any number of Wolverines.|3/5|April 23, 2019|N
elektra|Leona Laurie|Geek Girl Authority|F|This movie passes the Bechdel Test and the Knope Friendship Test. It's also way better than it gets credit for.|NA|August 29, 2018|N
elektra|Leah Rozen|People Magazine|R|Garner, who showed a promising comic touch last year in 13 Going On 30, does her movie career no favors here.|1.5/4|July 14, 2015|N
elektra|Matthew Reynolds|Hollywood.com|R|The problem is Elektra is not among the most compelling of characters. She doesn't have enough humanity and the story not enough depth to sustain us between fight scenes.|NA|July 14, 2015|N
elektra|Paul Byrnes|Sydney Morning Herald|R|If the film isn't as bad as some others in the comics-to-cinema genre (Halle Berry's Catwoman has rather lowered the bar), that's not to say it's good.|NA|July 14, 2015|Y
elektra|Megan Spencer|Triple J|F|Worth a look.|3/5|July 14, 2015|N
elektra|Sloan Freer|Radio Times|R|Daredevil's lady friend Elektra gets a solo outing in this insipid action adventure.|2/5|July 14, 2015|N
elektra|John Hartl|MSNBC|R|Even the action scenes flirt with tedium.|NA|July 14, 2015|N
elektra|Tim Robey|Daily Telegraph (UK)|R|Studio dross of the lowest grade.|NA|July 14, 2015|Y
elektra|Daniel Saney|Digital Spy|R|Having died in Daredevil, Elektra has returned without a vengeance to bore us all to death.|1/5|July 14, 2015|N
elektra|Richard von Busack|MetroActive|R|Every line, every plot twist, every digitally processed so-called fight scene will be easily foretold.|NA|July 14, 2015|N
elektra|Christopher Borrelli|Toledo Blade|R|Elektra is an inaction movie, as vague, impersonal, and uninvolving as superhero flicks get, and they can get pretty impersonal.|1/5|July 14, 2015|N
elektra|David Edelstein|Slate|R|There isn't a whisper of spontaneity.|NA|July 14, 2015|Y
elektra|John Hazelton|Screen International|R|A curiously ponderous affair, with an excess of pop psychology character background and cod-Eastern mysticism and not enough fun or action.|NA|July 14, 2015|N
elektra|Joe Morgenstern|Wall Street Journal|R|The movie's dominant visual tone is bronzed grunge, and its emotional tone is depressive.|NA|July 14, 2015|Y
elektra|Nell Minow|Common Sense Media|R|Violent comic book movie with lingerie costumes.|2/5|December 24, 2010|N
elektra|Garth Franklin|Dark Horizons|R|Some comic properties should just be left on the page.|NA|July 7, 2010|N
elektra|Felix Vasquez Jr.|Cinema Crazed|R|An utterly embarrassing misfire with poor performances, contrived elements, and a weak premise.|NA|April 29, 2009|N
elektra|John Wooley|Tulsa World|F|Elektra is a strange and emotionally distant picture, redeemed, if not completely, by a nice climactic battle, some moody visuals and a star who seems to be working as hard as she can to heat up a character designed to be chilly.|2.5/4|October 18, 2008|N
elektra|Jim Lane|Sacramento News & Review|R|For all its slow-mo kick-flying and computer-generated mysticism, the story is tissue-thin and simple to the point of being simpleminded.|2/5|August 7, 2008|N
elektra|Rob Gonsalves|eFilmCritic.com|F|What's missing in this Elektra is a certain sense of play and imagination.|3/5|July 30, 2007|N
elektra|Dennis Schwartz|Dennis Schwartz Movie Reviews|F|It felt like I was back in my childhood watching serial chapters at a Saturday matinee.|B|March 6, 2007|N
elektra|Jonathan Rosenbaum|Chicago Reader|F|This doesn't exactly set the world on fire, but I was charmed by its old-fashioned storytelling, which is refreshingly free of archness, self-consciousness, or Kill Bill-style wisecracks.|NA|March 5, 2007|Y
elektra|Christy Lemire|Associated Press|F|Everything comes back to Garner, though -- and even when the movie takes itself too seriously, thankfully she never does.|NA|March 5, 2007|Y
elektra|Ethan Alter|Film Journal International|R|As for Garner, she remains a lovely screen presence, but it's impossible to buy her as an emotionless killing machine.|NA|March 1, 2007|N
elektra|Keith Phipps|AV Club|R|Elektra shoves Frank Miller's eponymous cold-blooded assassin into a PG-13-friendly adventure.|NA|October 6, 2006|Y
elektra|Russ Breimeier|Christianity Today|R|"During a fight, a character declared ""Enough! It ends now."" And I thought It's about time! Now there's a sure sign of an action movie falling short of its potential."|2/4|September 22, 2006|N
elektra|Derek Adams|Time Out|R|A none too Marvel-lous spin-off from Daredevil.|NA|June 24, 2006|Y
elektra|Helen O'Hara|Empire Magazine|R|Garner may justify her reputation as an action woman, but fails to prove that sais matter.|2/5|April 1, 2006|N
elektra|Kurt Loder|MTV|R|There's a skeleton of a cool fantasy story here, but the clatter and clunk of its fleshless bones is dispiriting.|1/4|February 7, 2006|N
elektra|Jim Schembri|The Age (Australia)|R|Never mind giving 1000 chimps 1000 typewriters and having them produce a script in a week. Instead, give 1000 chimps $US100 million and see how long it takes them to come up with a blancmange blockbuster such as this.|1.5/5|January 17, 2006|Y
elektra|Pete Vonder Haar|Film Threat|R|Absent an established fan base or cadre of recognizable villains, filmmakers are forced to shoehorn in superfluous back story and excessive inner turmoil.|1/5|December 6, 2005|N
