name,moviestatus,criticstatus,userstatus,link
Spider-Man: Far From Home,0,0,0,spider_man_far_from_home
Ex Machina,0,0,0,ex_machina
Terminator: Dark Fate,0,0,0,terminator_dark_fate
Real Steel,0,0,0,real_steel
The Last Witch Hunter,0,0,0,the_last_witch_hunter
Avengers: Endgame,0,0,0,avengers_endgame
The Maze Runner,0,0,0,the_maze_runner
Venom,0,0,0,venom
Megamind,0,0,0,megamind
The Hunger Games,0,0,0,the_hunger_games
Jurassic World,0,0,0,jurassic_world
The Purge,0,0,0,the_purge
Divergent,0,0,0,divergent
Sonic the Hedgehog,0,0,0,sonic_the_hedgehog
Gemini Man,0,0,0,gemini_man
Suicide Squad,0,0,0,suicide_squad
Avatar,0,0,0,avatar
Godzilla: King of the Monsters,0,0,0,godzilla_king_of_the_monsters
The Invisible Man,0,0,0,the_invisible_man
Iron Man,0,0,0,iron_man
Spider-Man: Homecoming,0,0,0,spider_man_homecoming
The Matrix,0,0,0,the_matrix
Transformers: The Last Knight,0,0,0,transformers_the_last_knight
A Quiet Place,0,0,0,a_quiet_place
Rise of the Planet of the Apes,0,0,0,rise_of_the_planet_of_the_apes
Mad Max: Fury Road,0,0,0,mad_max_fury_road
X-Men Origins: Wolverine,0,0,0,x_men_origins_wolverine
World War Z,0,0,0,world_war_z
What Happened to Monday,0,0,0,what_happened_to_monday
The Martian,0,0,0,the_martian
Stargate,0,0,0,stargate
The Terminator,0,0,0,the_terminator
Man of Steel,0,0,0,man_of_steel
Captain America: Civil War,0,0,0,captain_america_civil_war
The Darkest Minds,0,0,0,the_darkest_minds
Terminator 2: Judgment Day,0,0,0,terminator_2_judgment_day
Bloodshot,0,0,0,bloodshot
Avengers: Age of Ultron,0,0,0,avengers_age_of_ultron
Ready Player One,0,0,0,ready_player_one
Interstellar,0,0,0,interstellar
Logan,0,0,0,logan
The Incredible Hulk,0,0,0,the_incredible_hulk
Dark Phoenix,0,0,0,dark_phoenix
The Maze Runner: Scorch Trials,0,0,0,the_maze_runner_scorch_trials
Inception,0,0,0,inception
Star Wars Episode IV: A New Hope,0,0,0,star_wars_episode_iv_a_new_hope
Captain America: The First Avenger,0,0,0,captain_america_the_first_avenger
Teenage Mutant Ninja Turtles,0,0,0,teenage_mutant_ninja_turtles
They Live,0,0,0,they_live
Transformers,0,0,0,transformers
The Avengers,0,0,0,the_avengers
Doctor Strange,0,0,0,doctor_strange
Jurassic Park,0,0,0,jurassic_park
The Final Countdown,0,0,0,the_final_countdown
I Am Legend,0,0,0,i_am_legend
Black Panther,0,0,0,black_panther
Pacific Rim,0,0,0,pacific_rim
Bill & Ted Face the Music,0,0,0,bill_ted_face_the_music
The 5th Wave,0,0,0,the_5th_wave
Home,0,0,0,home
Guardians of the Galaxy,0,0,0,guardians_of_the_galaxy
The Meg,0,0,0,the_meg
Power Rangers,0,0,0,power_rangers
Chappie,0,0,0,chappie
The Book of Eli,0,0,0,the_book_of_eli
Contagion,0,0,0,contagion
Brightburn,0,0,0,brightburn
Bird Box,0,0,0,bird_box
Teenage Mutant Ninja Turtles: Out of the Shadows,0,0,0,teenage_mutant_ninja_turtles_out_of_the_shadows
The Hunger Games: Catching Fire,0,0,0,the_hunger_games_catching_fire
X-Men: Apocalypse,0,0,0,x_men_apocalypse
Battleship,0,0,0,battleship
Iron Man 2,0,0,0,iron_man_2
Maximum Overdrive,0,0,0,maximum_overdrive
Waterworld,0,0,0,waterworld
X-Men: First Class,0,0,0,x_men_first_class
The Giver,0,0,0,the_giver
The Divergent Series: Insurgent,0,0,0,the_divergent_series_insurgent
Pacific Rim: Uprising,0,0,0,pacific_rim_uprising
Paul,0,0,0,paul
Geostorm,0,0,0,geostorm
Blade Runner 2049,0,0,0,blade_runner_2049
Alien: Covenant,0,0,0,alien_covenant
Transformers: Dark of the Moon,0,0,0,transformers_dark_of_the_moon
The Rocky Horror Picture Show,0,0,0,the_rocky_horror_picture_show
The Thing,0,0,0,the_thing
Resident Evil,0,0,0,resident_evil
After Earth,0,0,0,after_earth
Dawn of the Planet of the Apes,0,0,0,dawn_of_the_planet_of_the_apes
WALL-E,0,0,0,wall_e
Iron Man 3,0,0,0,iron_man_3
Green Lantern,0,0,0,green_lantern
Underwater,0,0,0,underwater
Guardians of the Galaxy Vol. 2,0,0,0,guardians_of_the_galaxy_vol_2
Teen Titans Go! to the Movies,0,0,0,teen_titans_go_to_the_movies
Pixels,0,0,0,pixels
Project Power,0,0,0,project_power
The Divergent Series: Allegiant,0,0,0,the_divergent_series_allegiant
Hulk,0,0,0,hulk
Max Steel,0,0,0,max_steel
Hulk,0,0,0,hulk
Cowboys and Aliens,0,0,0,cowboys_and_aliens
Star Wars Episode I: The Phantom Menace,0,0,0,star_wars_episode_i_the_phantom_menace
Tron: Legacy,0,0,0,tron_legacy
Star Wars: Episode IX - The Rise of Skywalker,0,0,0,star_wars_episode_ix_the_rise_of_skywalker
Coneheads,0,0,0,coneheads
Godzilla,0,0,0,godzilla
Alien vs. Predator,0,0,0,alien_vs_predator
The Fourth Kind,0,0,0,the_fourth_kind
The Adventures of Sharkboy and Lavagirl in 3-D,0,0,0,the_adventures_of_sharkboy_and_lavagirl_in_3_d
Valerian and the City of a Thousand Planets,0,0,0,valerian_and_the_city_of_a_thousand_planets
John Carter,0,0,0,john_carter
Back to the Future,0,0,0,back_to_the_future
The Platform,0,0,0,the_platform
I Am Number Four,0,0,0,i_am_number_four
Dragonball Evolution,0,0,0,dragonball_evolution
Bumblebee,0,0,0,bumblebee
Status Update,0,0,0,status_update
The First Purge,0,0,0,the_first_purge
Dragon Ball Z: Resurrection 'F',0,0,0,dragon_ball_z_resurrection_f
Prometheus,0,0,0,prometheus
In Time,0,0,0,in_time
The Day After Tomorrow,0,0,0,the_day_after_tomorrow
Transformers: Age of Extinction,0,0,0,transformers_age_of_extinction
X-Men: The Last Stand,0,0,0,x_men_the_last_stand
Ant-Man,0,0,0,ant_man
The Maze Runner: The Death Cure,0,0,0,the_maze_runner_the_death_cure
Independence Day,0,0,0,independence_day
Aeon Flux,0,0,0,aeon_flux
The Fifth Element,0,0,0,the_fifth_element
Captain Marvel,0,0,0,captain_marvel
Ender's Game,0,0,0,ender_s_game
Idiocracy,0,0,0,idiocracy
The Thing,0,0,0,the_thing
Edge of Tomorrow,0,0,0,edge_of_tomorrow
Hollow Man,0,0,0,hollow_man
Upgrade,0,0,0,upgrade
Deep Blue Sea,0,0,0,deep_blue_sea
Under the Skin,0,0,0,under_the_skin
Captain America: The Winter Soldier,0,0,0,captain_america_the_winter_soldier
Fantastic Four,0,0,0,fantastic_four
